blue100H,blue100V,blue500H,blue500V,blueAvg,green100H,green100V,green500H,green500V,greenAvg,label,red100H,red100V,red500H,red500V,redAvg
187.36,188.1,189.0,187.46,95.3804449907,194.36,195.1,198.12,193.02,174.629831905,1,191.36,192.1,197.4,190.74,167.534907752
212.6,212.66,8.3,135.72,77.3881897685,219.92,220.22,158.14,200.96,161.477081663,1,217.72,217.22,150.86,199.08,155.091832312
191.12,191.6,175.32,198.24,80.5244198599,200.28,201.12,180.92,202.24,98.7418351875,5,189.36,186.56,171.56,196.24,165.221213432
215.12,212.32,203.34,74.32,75.786160564,217.64,217.24,211.38,119.66,107.675051031,4,207.68,205.68,210.2,235.18,185.490642361
205.46,206.16,202.06,92.96,74.5133034572,212.46,213.32,209.06,166.86,136.815822529,2,208.26,209.76,206.06,212.66,174.948911393
203.28,200.12,203.7,183.08,114.919395268,209.28,210.66,210.86,197.0,165.508027729,1,208.28,207.96,210.58,193.16,160.20528872
195.4,194.28,28.4,180.76,88.9823226472,203.2,201.42,33.7,188.7,96.2293027003,5,197.32,197.92,143.36,193.26,163.726292407
166.26,168.88,105.02,182.34,104.270111277,175.38,179.36,118.18,194.52,153.029127613,2,174.74,178.48,127.26,197.7,160.828493238
144.74,141.56,81.24,22.18,69.1743704278,158.74,155.48,92.9,27.62,76.3491849796,5,157.02,154.4,150.38,106.62,179.174343992
207.02,205.96,93.18,25.56,59.615351479,209.66,209.8,147.26,60.64,96.8798917825,4,203.42,203.8,237.66,181.48,187.573920218
193.18,193.74,119.34,31.88,63.2902761268,200.18,200.74,180.76,124.36,113.017050201,3,197.18,197.1,212.58,213.86,166.902724511
193.12,187.06,208.86,116.58,112.789238509,200.12,194.06,214.32,131.7,166.974061942,2,197.12,191.06,211.44,141.34,184.74040871
204.62,203.0,99.4,192.38,85.0220235247,212.46,211.44,113.2,201.3,102.529809031,4,209.56,209.24,184.26,210.46,188.072732047
194.74,191.48,195.08,179.78,90.6503157529,201.74,198.32,201.48,186.24,118.524990582,4,198.74,195.4,199.68,191.96,177.669674829
142.96,143.12,83.24,84.26,78.7471825433,156.96,156.72,105.02,125.1,135.485116611,2,155.96,156.6,112.94,142.18,160.769755052
233.76,232.44,205.04,232.2,133.697304392,240.56,239.24,218.16,239.2,183.401321381,1,239.56,238.24,219.12,236.2,178.383909168
187.64,188.28,61.88,177.2,67.0391665061,194.64,195.28,87.3,182.28,102.496444846,4,191.08,191.72,192.54,183.68,170.494651215
170.12,168.56,155.74,157.98,122.768086891,177.12,175.56,163.42,164.98,177.161264723,1,173.48,172.56,161.78,161.98,170.442858923
172.22,172.76,177.2,164.46,93.4320419748,178.02,177.92,183.48,167.94,130.386547896,3,175.62,175.84,181.36,164.98,167.12232818
165.46,161.64,170.54,43.92,76.0969863976,178.02,174.8,180.84,70.74,108.868816883,4,171.82,169.42,176.2,146.16,169.977955777
